code,name,brief,description
C0102,blacklisted-name,"Black listed name ""%s""",Used when the name is listed in the black list (unauthorized names).
C0103,invalid-name,"%s name ""%s"" doesn't conform to %s","Used when the name doesn't conform to naming rules associated to its type (constant, variable, class...)."
C0111,missing-docstring,Missing %s docstring,"Used when a module, function, class or method has no docstring.Some special methods like __init__ doesn't necessary require a docstring."
C0112,empty-docstring,Empty %s docstring,"Used when a module, function, class or method has an empty docstring (it would be too easy ;)."
C0113,unneeded-not,"Consider changing ""%s"" to ""%s""",Used when a boolean expression contains an unneeded negation.
C0121,singleton-comparison,Comparison to %s should be %s,"Used when an expression is compared to singleton values like True, False or None."
C0122,misplaced-comparison-constant,Comparison should be %s,Used when the constant is placed on the left side of a comparison. It is usually clearer in intent to place it in the right hand side of the comparison.
C0123,unidiomatic-typecheck,Using type() instead of isinstance() for a typecheck.,"The idiomatic way to perform an explicit typecheck in Python is to use isinstance(x, Y) rather than type(x) == Y, type(x) is Y. Though there are unusual situations where these give different results."
C0200,consider-using-enumerate,Consider using enumerate instead of iterating with range and len,Emitted when code that iterates with range and len is encountered. Such code can be simplified by using the enumerate builtin.
C0201,consider-iterating-dictionary,Consider iterating the dictionary directly instead of calling .keys(),"Emitted when the keys of a dictionary are iterated through the .keys() method. It is enough to just iterate through the dictionary itself, as in ""for key in dictionary""."
C0202,bad-classmethod-argument,Class method %s should have %s as first argument,"Used when a class method has a first argument named differently than the value specified in valid-classmethod-first-arg option (default to ""cls""), recommended to easily differentiate them from regular instance methods."
C0203,bad-mcs-method-argument,Metaclass method %s should have %s as first argument,"Used when a metaclass method has a first argument named differently than the value specified in valid-classmethod-first-arg option (default to ""cls""), recommended to easily differentiate them from regular instance methods."
C0204,bad-mcs-classmethod-argument,Metaclass class method %s should have %s as first argument,"Used when a metaclass class method has a first argument named differently than the value specified in valid-metaclass-classmethod-first-arg option (default to ""mcs""), recommended to easily differentiate them from regular instance methods."
C0205,single-string-used-for-slots,Class __slots__ should be a non-string iterable,"Used when a class __slots__ is a simple string, rather than an iterable."
C0301,line-too-long,Line too long (%s/%s),Used when a line is longer than a given number of characters.
C0302,too-many-lines,Too many lines in module (%s/%s),"Used when a module has too much lines, reducing its readability."
C0303,trailing-whitespace,Trailing whitespace,Used when there is whitespace between the end of a line and the newline.
C0304,missing-final-newline,Final newline missing,Used when the last line in a file is missing a newline.
C0305,trailing-newlines,Trailing newlines,Used when there are trailing blank lines in a file.
C0321,multiple-statements,More than one statement on a single line,Used when more than on statement are found on the same line.
C0325,superfluous-parens,Unnecessary parens after %r keyword,"Used when a single item in parentheses follows an if, for, or other keyword."
C0326,bad-whitespace,%s space %s %s %s,"Used when a wrong number of spaces is used around an operator, bracket or block opener."
C0327,mixed-line-endings,Mixed line endings LF and CRLF,Used when there are mixed (LF and CRLF) newline signs in a file.
C0328,unexpected-line-ending-format,Unexpected line ending format. There is '%s' while it should be '%s'.,Used when there is different newline than expected.
C0330,bad-continuation,Wrong %s indentation%s%s.,TODO
C0401,wrong-spelling-in-comment,Wrong spelling of a word '%s' in a comment:,Used when a word in comment is not spelled correctly.
C0402,wrong-spelling-in-docstring,Wrong spelling of a word '%s' in a docstring:,Used when a word in docstring is not spelled correctly.
C0403,invalid-characters-in-docstring,Invalid characters %r in a docstring,Used when a word in docstring cannot be checked by enchant.
C0410,multiple-imports,Multiple imports on one line (%s),Used when import statement importing multiple modules is detected.
C0411,wrong-import-order,%s should be placed before %s,"Used when PEP8 import order is not respected (standard imports first, then third-party libraries, then local imports)"
C0412,ungrouped-imports,Imports from package %s are not grouped,Used when imports are not grouped by packages
C0413,wrong-import-position,"Import ""%s"" should be placed at the top of the module",Used when code and imports are mixed
C1001,old-style-class,Old-style class defined.,"Used when a class is defined that does not inherit from another class and does not inherit explicitly from ""object"". This message can't be emitted when using Python >= 3.0."
C1801,len-as-condition,Do not use `len(SEQUENCE)` to determine if a sequence is empty,"Used when Pylint detects that len(sequence) is being used inside a condition to determine if a sequence is empty. Instead of comparing the length to 0, rely on the fact that empty sequences are false."
E0001,syntax-error,,Used when a syntax error is raised for a module.
E0011,unrecognized-inline-option,Unrecognized file option %r,Used when an unknown inline option is encountered.
E0012,bad-option-value,Bad option value %r,Used when a bad value for an inline option is encountered.
E0100,init-is-generator,__init__ method is a generator,Used when the special class method __init__ is turned into a generator by a yield in its body.
E0101,return-in-init,Explicit return in __init__,Used when the special class method __init__ has an explicit return value.
E0102,function-redefined,%s already defined line %s,Used when a function / class / method is redefined.
E0103,not-in-loop,%r not properly in loop,Used when break or continue keywords are used outside a loop.
E0104,return-outside-function,Return outside function,"Used when a ""return"" statement is found outside a function or method."
E0105,yield-outside-function,Yield outside function,"Used when a ""yield"" statement is found outside a function or method."
E0106,return-arg-in-generator,Return with argument inside generator,"Used when a ""return"" statement with an argument is found outside in a generator function or method (e.g. with some ""yield"" statements). This message can't be emitted when using Python >= 3.3."
E0107,nonexistent-operator,Use of the non-existent %s operator,"Used when you attempt to use the C-style pre-increment orpre-decrement operator -- and ++, which doesn't exist in Python."
E0108,duplicate-argument-name,Duplicate argument name %s in function definition,Duplicate argument names in function definitions are syntax errors.
E0110,abstract-class-instantiated,Abstract class %r with abstract methods instantiated,Used when an abstract class with `abc.ABCMeta` as metaclass has abstract methods and is instantiated.
